Time [Sec] - Base	g - Base	Time [Sec] - Ground	g - Ground
0.0	0,013	0.0	-0,004
0.0002	0,017	0.0002	-0,005
0.0004	0,019	0.0004	-0,005
0.0006	0,021	0.0006	-0,004
0.0008	0,021	0.0008	-0,002
0.001	0,020	0.001	-0,000
0.0012	0,017	0.0012	0,001
0.0014	0,014	0.0014	0,002
0.0016	0,009	0.0016	0,002
0.0018	0,005	0.0018	0,001
0.002	0,000	0.002	-0,002
0.0022	-0,004	0.0022	-0,006
0.0024	-0,006	0.0024	-0,011
0.0026	-0,008	0.0026	-0,016
0.0028	-0,007	0.0028	-0,020
0.003	-0,004	0.003	-0,023
0.0032	0,000	0.0032	-0,025
0.0034	0,006	0.0034	-0,025
0.0036	0,014	0.0036	-0,022
0.0038	0,021	0.0038	-0,018
0.004	0,030	0.004	-0,013
0.0042	0,038	0.0042	-0,006
0.0044	0,045	0.0044	-0,001
0.0046	0,051	0.0046	0,005
0.0048	0,055	0.0048	0,008
0.005	0,058	0.005	0,010
0.0052	0,060	0.0052	0,010
0.0054	0,060	0.0054	0,008
0.0056	0,058	0.0056	0,005
0.0058	0,056	0.0058	0,002
0.006	0,053	0.006	-0,001
0.0062	0,050	0.0062	-0,003
0.0064	0,046	0.0064	-0,003
0.0066	0,043	0.0066	-0,002
0.0068	0,041	0.0068	0,000
0.007	0,040	0.007	0,004
0.0072	0,039	0.0072	0,008
0.0074	0,039	0.0074	0,012
0.0076	0,040	0.0076	0,015
0.0078	0,041	0.0078	0,017
0.008	0,043	0.008	0,016
0.0082	0,045	0.0082	0,014
0.0084	0,046	0.0084	0,011
0.0086	0,048	0.0086	0,006
0.0088	0,048	0.0088	0,002
0.009	0,048	0.009	-0,002
0.0092	0,048	0.0092	-0,005
0.0094	0,047	0.0094	-0,006
0.0096	0,045	0.0096	-0,005
0.0098	0,042	0.0098	-0,002
0.01	0,039	0.01	0,002
0.0102	0,036	0.0102	0,008
0.0104	0,032	0.0104	0,015
0.0106	0,029	0.0106	0,022
0.0108	0,025	0.0108	0,027
0.011	0,022	0.011	0,032
0.0112	0,019	0.0112	0,036
0.0114	0,017	0.0114	0,038
0.0116	0,014	0.0116	0,039
0.0118	0,012	0.0118	0,039
0.012	0,011	0.012	0,039
0.0122	0,010	0.0122	0,039
0.0124	0,009	0.0124	0,039
0.0126	0,008	0.0126	0,040
0.0128	0,007	0.0128	0,042
0.013	0,007	0.013	0,043
0.0132	0,007	0.0132	0,045
0.0134	0,006	0.0134	0,047
0.0136	0,006	0.0136	0,049
0.0138	0,006	0.0138	0,049
0.014	0,006	0.014	0,049
0.0142	0,005	0.0142	0,047
0.0144	0,005	0.0144	0,044
0.0146	0,004	0.0146	0,040
0.0148	0,003	0.0148	0,035
0.015	0,002	0.015	0,029
0.0152	-0,000	0.0152	0,023
0.0154	-0,002	0.0154	0,017
0.0156	-0,004	0.0156	0,011
0.0158	-0,007	0.0158	0,006
0.016	-0,010	0.016	0,001
0.0162	-0,013	0.0162	-0,002
0.0164	-0,016	0.0164	-0,004
0.0166	-0,018	0.0166	-0,004
0.0168	-0,021	0.0168	-0,004
0.017	-0,024	0.017	-0,002
0.0172	-0,026	0.0172	0,000
0.0174	-0,028	0.0174	0,003
0.0176	-0,030	0.0176	0,006
0.0178	-0,031	0.0178	0,009
0.018	-0,032	0.018	0,011
0.0182	-0,032	0.0182	0,013
0.0184	-0,031	0.0184	0,013
0.0186	-0,030	0.0186	0,014
0.0188	-0,028	0.0188	0,013
0.019	-0,026	0.019	0,013
0.0192	-0,024	0.0192	0,012
0.0194	-0,022	0.0194	0,011
0.0196	-0,021	0.0196	0,010
0.0198	-0,020	0.0198	0,008
0.02	-0,020	0.02	0,005
0.0202	-0,021	0.0202	0,002
0.0204	-0,023	0.0204	-0,004
0.0206	-0,025	0.0206	-0,012
0.0208	-0,028	0.0208	-0,021
0.021	-0,032	0.021	-0,031
0.0212	-0,035	0.0212	-0,042
0.0214	-0,037	0.0214	-0,052
0.0216	-0,039	0.0216	-0,059
0.0218	-0,039	0.0218	-0,063
0.022	-0,038	0.022	-0,062
0.0222	-0,035	0.0222	-0,056
0.0224	-0,030	0.0224	-0,046
0.0226	-0,025	0.0226	-0,031
0.0228	-0,019	0.0228	-0,013
0.023	-0,013	0.023	0,006
0.0232	-0,007	0.0232	0,023
0.0234	-0,003	0.0234	0,037
0.0236	-0,001	0.0236	0,045
0.0238	0,000	0.0238	0,048
0.024	-0,001	0.024	0,045
0.0242	-0,005	0.0242	0,037
0.0244	-0,010	0.0244	0,027
0.0246	-0,016	0.0246	0,016
0.0248	-0,023	0.0248	0,007
0.025	-0,029	0.025	0,002
0.0252	-0,035	0.0252	0,003
0.0254	-0,039	0.0254	0,010
0.0256	-0,042	0.0256	0,022
0.0258	-0,042	0.0258	0,038
0.026	-0,041	0.026	0,054
0.0262	-0,038	0.0262	0,069
0.0264	-0,033	0.0264	0,078
0.0266	-0,029	0.0266	0,081
0.0268	-0,024	0.0268	0,077
0.027	-0,020	0.027	0,064
0.0272	-0,017	0.0272	0,047
0.0274	-0,016	0.0274	0,027
0.0276	-0,016	0.0276	0,008
0.0278	-0,018	0.0278	-0,005
0.028	-0,021	0.028	-0,010
0.0282	-0,025	0.0282	-0,005
0.0284	-0,030	0.0284	0,011
0.0286	-0,035	0.0286	0,036
0.0288	-0,040	0.0288	0,065
0.029	-0,043	0.029	0,095
0.0292	-0,046	0.0292	0,119
0.0294	-0,048	0.0294	0,132
0.0296	-0,049	0.0296	0,129
0.0298	-0,049	0.0298	0,108
0.03	-0,049	0.03	0,068
0.0302	-0,048	0.0302	0,012
0.0304	-0,047	0.0304	-0,056
0.0306	-0,047	0.0306	-0,129
0.0308	-0,047	0.0308	-0,200
0.031	-0,047	0.031	-0,262
0.0312	-0,048	0.0312	-0,308
0.0314	-0,048	0.0314	-0,334
0.0316	-0,049	0.0316	-0,337
0.0318	-0,049	0.0318	-0,318
0.032	-0,048	0.032	-0,280
0.0322	-0,045	0.0322	-0,229
0.0324	-0,041	0.0324	-0,172
0.0326	-0,036	0.0326	-0,116
0.0328	-0,029	0.0328	-0,066
0.033	-0,022	0.033	-0,028
0.0332	-0,013	0.0332	-0,003
0.0334	-0,004	0.0334	0,009
0.0336	0,004	0.0336	0,009
0.0338	0,012	0.0338	0,003
0.034	0,019	0.034	-0,005
0.0342	0,024	0.0342	-0,009
0.0344	0,026	0.0344	-0,007
0.0346	0,027	0.0346	0,006
0.0348	0,026	0.0348	0,028
0.035	0,023	0.035	0,058
0.0352	0,019	0.0352	0,092
0.0354	0,014	0.0354	0,126
0.0356	0,009	0.0356	0,153
0.0358	0,004	0.0358	0,170
0.036	0,001	0.036	0,174
0.0362	-0,002	0.0362	0,162
0.0364	-0,002	0.0364	0,137
0.0366	-0,001	0.0366	0,101
0.0368	0,002	0.0368	0,060
0.037	0,007	0.037	0,019
0.0372	0,014	0.0372	-0,016
0.0374	0,021	0.0374	-0,041
0.0376	0,028	0.0376	-0,054
0.0378	0,036	0.0378	-0,053
0.038	0,042	0.038	-0,041
0.0382	0,048	0.0382	-0,021
0.0384	0,051	0.0384	0,001
0.0386	0,054	0.0386	0,020
0.0388	0,054	0.0388	0,030
0.039	0,052	0.039	0,028
0.0392	0,049	0.0392	0,013
0.0394	0,045	0.0394	-0,016
0.0396	0,040	0.0396	-0,054
0.0398	0,035	0.0398	-0,098
0.04	0,030	0.04	-0,140
0.0402	0,026	0.0402	-0,175
0.0404	0,023	0.0404	-0,197
0.0406	0,021	0.0406	-0,202
0.0408	0,020	0.0408	-0,190
0.041	0,021	0.041	-0,161
0.0412	0,023	0.0412	-0,118
0.0414	0,026	0.0414	-0,067
0.0416	0,031	0.0416	-0,014
0.0418	0,035	0.0418	0,035
0.042	0,040	0.042	0,074
0.0422	0,045	0.0422	0,100
0.0424	0,049	0.0424	0,110
0.0426	0,053	0.0426	0,106
0.0428	0,057	0.0428	0,090
0.043	0,060	0.043	0,066
0.0432	0,063	0.0432	0,041
0.0434	0,065	0.0434	0,018
0.0436	0,066	0.0436	0,004
0.0438	0,068	0.0438	0,001
0.044	0,068	0.044	0,010
0.0442	0,068	0.0442	0,031
0.0444	0,068	0.0444	0,062
0.0446	0,066	0.0446	0,098
0.0448	0,063	0.0448	0,136
0.045	0,059	0.045	0,171
0.0452	0,053	0.0452	0,198
0.0454	0,047	0.0454	0,216
0.0456	0,039	0.0456	0,222
0.0458	0,031	0.0458	0,217
0.046	0,023	0.046	0,202
0.0462	0,015	0.0462	0,180
0.0464	0,009	0.0464	0,152
0.0466	0,004	0.0466	0,123
0.0468	0,001	0.0468	0,094
0.047	0,000	0.047	0,067
0.0472	0,002	0.0472	0,043
0.0474	0,006	0.0474	0,023
0.0476	0,012	0.0476	0,005
0.0478	0,019	0.0478	-0,012
0.048	0,027	0.048	-0,029
0.0482	0,034	0.0482	-0,047
0.0484	0,041	0.0484	-0,067
0.0486	0,046	0.0486	-0,087
0.0488	0,049	0.0488	-0,108
0.049	0,050	0.049	-0,129
0.0492	0,049	0.0492	-0,147
0.0494	0,047	0.0494	-0,161
0.0496	0,044	0.0496	-0,171
0.0498	0,040	0.0498	-0,175
0.05	0,037	0.05	-0,173
0.0502	0,034	0.0502	-0,165
0.0504	0,032	0.0504	-0,154
0.0506	0,033	0.0506	-0,139
0.0508	0,035	0.0508	-0,122
0.051	0,038	0.051	-0,105
0.0512	0,044	0.0512	-0,090
0.0514	0,050	0.0514	-0,076
0.0516	0,057	0.0516	-0,065
0.0518	0,063	0.0518	-0,056
0.052	0,070	0.052	-0,050
0.0522	0,075	0.0522	-0,046
0.0524	0,079	0.0524	-0,044
0.0526	0,081	0.0526	-0,043
0.0528	0,082	0.0528	-0,042
0.053	0,081	0.053	-0,042
0.0532	0,080	0.0532	-0,041
0.0534	0,077	0.0534	-0,041
0.0536	0,074	0.0536	-0,039
0.0538	0,070	0.0538	-0,036
0.054	0,066	0.054	-0,031
0.0542	0,062	0.0542	-0,023
0.0544	0,058	0.0544	-0,014
0.0546	0,053	0.0546	-0,002
0.0548	0,048	0.0548	0,013
0.055	0,043	0.055	0,028
0.0552	0,037	0.0552	0,043
0.0554	0,030	0.0554	0,058
0.0556	0,022	0.0556	0,070
0.0558	0,014	0.0558	0,079
0.056	0,005	0.056	0,083
0.0562	-0,003	0.0562	0,082
0.0564	-0,012	0.0564	0,078
0.0566	-0,020	0.0566	0,069
0.0568	-0,026	0.0568	0,060
0.057	-0,031	0.057	0,049
0.0572	-0,034	0.0572	0,040
0.0574	-0,036	0.0574	0,032
0.0576	-0,035	0.0576	0,027
0.0578	-0,034	0.0578	0,023
0.058	-0,030	0.058	0,019
0.0582	-0,027	0.0582	0,013
0.0584	-0,023	0.0584	0,002
0.0586	-0,019	0.0586	-0,017
0.0588	-0,016	0.0588	-0,044
0.059	-0,015	0.059	-0,081
0.0592	-0,014	0.0592	-0,127
0.0594	-0,016	0.0594	-0,178
0.0596	-0,018	0.0596	-0,232
0.0598	-0,022	0.0598	-0,282
0.06	-0,027	0.06	-0,324
0.0602	-0,032	0.0602	-0,353
0.0604	-0,037	0.0604	-0,365
0.0606	-0,041	0.0606	-0,359
0.0608	-0,044	0.0608	-0,335
0.061	-0,046	0.061	-0,295
0.0612	-0,046	0.0612	-0,244
0.0614	-0,045	0.0614	-0,188
0.0616	-0,043	0.0616	-0,135
0.0618	-0,040	0.0618	-0,089
0.062	-0,036	0.062	-0,056
0.0622	-0,032	0.0622	-0,038
0.0624	-0,028	0.0624	-0,036
0.0626	-0,025	0.0626	-0,046
0.0628	-0,023	0.0628	-0,064
0.063	-0,021	0.063	-0,083
0.0632	-0,021	0.0632	-0,099
0.0634	-0,021	0.0634	-0,103
0.0636	-0,022	0.0636	-0,095
0.0638	-0,023	0.0638	-0,071
0.064	-0,024	0.064	-0,033
0.0642	-0,025	0.0642	0,013
0.0644	-0,026	0.0644	0,062
0.0646	-0,026	0.0646	0,107
0.0648	-0,025	0.0648	0,139
0.065	-0,024	0.065	0,155
0.0652	-0,023	0.0652	0,150
0.0654	-0,021	0.0654	0,125
0.0656	-0,019	0.0656	0,083
0.0658	-0,018	0.0658	0,031
0.066	-0,017	0.066	-0,023
0.0662	-0,016	0.0662	-0,070
0.0664	-0,017	0.0664	-0,101
0.0666	-0,017	0.0666	-0,110
0.0668	-0,018	0.0668	-0,094
0.067	-0,020	0.067	-0,052
0.0672	-0,021	0.0672	0,011
0.0674	-0,023	0.0674	0,089
0.0676	-0,024	0.0676	0,170
0.0678	-0,026	0.0678	0,246
0.068	-0,027	0.068	0,305
0.0682	-0,029	0.0682	0,341
0.0684	-0,030	0.0684	0,349
0.0686	-0,032	0.0686	0,327
0.0688	-0,034	0.0688	0,278
0.069	-0,037	0.069	0,209
0.0692	-0,041	0.0692	0,127
0.0694	-0,045	0.0694	0,043
0.0696	-0,050	0.0696	-0,035
0.0698	-0,056	0.0698	-0,099
0.07	-0,063	0.07	-0,144
0.0702	-0,069	0.0702	-0,168
0.0704	-0,076	0.0704	-0,170
0.0706	-0,082	0.0706	-0,156
0.0708	-0,088	0.0708	-0,130
0.071	-0,092	0.071	-0,100
0.0712	-0,096	0.0712	-0,070
0.0714	-0,098	0.0714	-0,046
0.0716	-0,099	0.0716	-0,031
0.0718	-0,098	0.0718	-0,027
0.072	-0,096	0.072	-0,033
0.0722	-0,093	0.0722	-0,045
0.0724	-0,090	0.0724	-0,060
0.0726	-0,086	0.0726	-0,074
0.0728	-0,082	0.0728	-0,081
0.073	-0,077	0.073	-0,081
