Time [Sec] - Base	g - Base	Time [Sec] - Ground	g - Ground
0	0,0133047	0	-0,00411088
0,0002	0,0167701	0,0002	-0,00482919
0,0004	0,0194096	0,0004	-0,00465471
0,0006	0,0209224	0,0006	-0,00365629
0,0008	0,0211077	0,0008	-0,00206585
0,001	0,0198926	0,001	-0,000250664
0,0012	0,017349	0,0012	0,00134081
0,0014	0,013695	0,0014	0,00225142
0,0016	0,00928014	0,0016	0,00209619
0,0018	0,00455423	0,0018	0,000637017
0,002	2,46E-05	0,002	-0,00216246
0,0022	-0,00379413	0,0022	-0,00611164
0,0024	-0,00643201	0,0024	-0,010805
0,0026	-0,00751197	0,0026	-0,0156719
0,0028	-0,00678843	0,0028	-0,0200556
0,003	-0,00417216	0,003	-0,0233138
0,0032	0,00026068	0,0032	-0,0249215
0,0034	0,00627674	0,0034	-0,0245601
0,0036	0,0135091	0,0036	-0,0221776
0,0038	0,0214933	0,0038	-0,0180079
0,004	0,0297125	0,004	-0,0125424
0,0042	0,0376457	0,0042	-0,00646129
0,0044	0,0448141	0,0044	-0,000530298
0,0046	0,0508225	0,0046	0,00451795
0,0048	0,0553888	0,0048	0,00809958
0,005	0,0583625	0,005	0,00987155
0,0052	0,0597284	0,0052	0,00978673
0,0054	0,0595989	0,0054	0,00809811
0,0056	0,0581939	0,0056	0,00531368
0,0058	0,0558133	0,0058	0,0021084
0,006	0,0528048	0,006	-0,000793593
0,0062	0,0495291	0,0062	-0,0027439
0,0064	0,0463284	0,0064	-0,00328258
0,0066	0,0434987	0,0066	-0,00221786
0,0068	0,0412675	0,0068	0,000340344
0,007	0,0397818	0,007	0,00400011
0,0072	0,0391019	0,0072	0,00815584
0,0074	0,0392038	0,0074	0,0120945
0,0076	0,0399892	0,0076	0,0151212
0,0078	0,0412993	0,0078	0,0166821
0,008	0,0429331	0,008	0,0164633
0,0082	0,0446677	0,0082	0,0144495
0,0084	0,0462782	0,0084	0,010931
0,0086	0,0475571	0,0086	0,00645874
0,0088	0,0483311	0,0088	0,00175684
0,009	0,0484732	0,009	-0,00239483
0,0092	0,0479108	0,0092	-0,0052845
0,0094	0,0466285	0,0094	-0,00637887
0,0096	0,0446653	0,0096	-0,00540327
0,0098	0,0421077	0,0098	-0,00237577
0,01	0,039079	0,01	0,00240606
0,0102	0,0357257	0,0102	0,00842266
0,0104	0,0322035	0,0104	0,0150248
0,0106	0,0286626	0,0106	0,0215395
0,0108	0,0252366	0,0108	0,0273745
0,011	0,0220328	0,011	0,032103
0,0112	0,0191272	0,0112	0,0355109
0,0114	0,0165635	0,0114	0,0376114
0,0116	0,0143562	0,0116	0,0386147
0,0118	0,0124957	0,0118	0,0388714
0,012	0,0109563	0,012	0,0387985
0,0122	0,0097033	0,0122	0,0387901
0,0124	0,0086995	0,0124	0,0391581
0,0126	0,00790927	0,0126	0,0400679
0,0128	0,00730044	0,0128	0,0415319
0,013	0,00684382	0,013	0,0434079
0,0132	0,00651026	0,0132	0,0454397
0,0134	0,00626788	0,0134	0,0472938
0,0136	0,00607819	0,0136	0,0486313
0,0138	0,00589398	0,0138	0,0491318
